Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:45
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb,004,HBpb004,169893.64,433109.66,709,,763,500,-636,-736,2022/11/08,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb,004,2022/11/08 11:25:00,441,
HBpb,004,2022/11/08 13:25:00,441,
HBpb,004,2022/11/08 14:25:00,441,
HBpb,004,2022/11/08 15:25:00,441,
HBpb,004,2022/11/08 16:25:00,441,
HBpb,004,2022/11/08 17:25:00,441,
HBpb,004,2022/11/08 18:25:00,441,
HBpb,004,2022/11/08 19:25:00,440,
HBpb,004,2022/11/08 20:25:00,440,
HBpb,004,2022/11/08 21:25:00,441,
HBpb,004,2022/11/08 22:25:00,441,
HBpb,004,2022/11/08 23:25:00,441,
HBpb,004,2022/11/09 00:25:00,441,
HBpb,004,2022/11/09 01:25:00,441,
HBpb,004,2022/11/09 02:25:00,441,
HBpb,004,2022/11/09 03:25:00,441,
HBpb,004,2022/11/09 04:25:00,441,
HBpb,004,2022/11/09 05:25:00,440,
HBpb,004,2022/11/09 06:25:00,441,
HBpb,004,2022/11/09 07:25:00,440,
HBpb,004,2022/11/09 08:25:00,440,
HBpb,004,2022/11/09 09:25:00,440,
HBpb,004,2022/11/09 10:25:00,440,
HBpb,004,2022/11/09 11:25:00,440,
HBpb,004,2022/11/09 12:25:00,440,
HBpb,004,2022/11/09 13:25:00,440,
HBpb,004,2022/11/09 14:25:00,440,
HBpb,004,2022/11/09 15:25:00,440,
HBpb,004,2022/11/09 16:25:00,440,
HBpb,004,2022/11/09 17:25:00,439,
HBpb,004,2022/11/09 18:25:00,439,
HBpb,004,2022/11/09 19:25:00,439,
HBpb,004,2022/11/09 20:25:00,439,
HBpb,004,2022/11/09 21:25:00,439,
HBpb,004,2022/11/09 22:25:00,439,
HBpb,004,2022/11/09 23:25:00,439,
HBpb,004,2022/11/10 00:25:00,439,
HBpb,004,2022/11/10 01:25:00,439,
HBpb,004,2022/11/10 02:25:00,439,
HBpb,004,2022/11/10 03:25:00,439,
HBpb,004,2022/11/10 04:25:00,439,
HBpb,004,2022/11/10 05:25:00,439,
HBpb,004,2022/11/10 06:25:00,439,
HBpb,004,2022/11/10 07:25:00,439,
HBpb,004,2022/11/10 08:25:00,439,
HBpb,004,2022/11/10 09:25:00,439,
HBpb,004,2022/11/10 10:25:00,439,
HBpb,004,2022/11/10 11:25:00,439,
HBpb,004,2022/11/10 12:25:00,438,
HBpb,004,2022/11/10 13:25:00,438,
HBpb,004,2022/11/10 14:25:00,438,
HBpb,004,2022/11/10 15:25:00,438,
HBpb,004,2022/11/10 16:25:00,438,
HBpb,004,2022/11/10 17:25:00,438,
HBpb,004,2022/11/10 18:25:00,438,
HBpb,004,2022/11/10 19:25:00,437,
HBpb,004,2022/11/10 20:25:00,438,
HBpb,004,2022/11/10 22:25:00,437,
HBpb,004,2022/11/10 23:25:00,437,
HBpb,004,2022/11/11 00:25:00,438,
HBpb,004,2022/11/11 01:25:00,438,
HBpb,004,2022/11/11 02:25:00,438,
HBpb,004,2022/11/11 03:25:00,438,
HBpb,004,2022/11/11 04:25:00,438,
HBpb,004,2022/11/11 05:25:00,438,
HBpb,004,2022/11/11 06:25:00,438,
HBpb,004,2022/11/11 07:25:00,438,
HBpb,004,2022/11/11 08:25:00,438,
HBpb,004,2022/11/11 09:25:00,438,
HBpb,004,2022/11/11 10:25:00,437,
HBpb,004,2022/11/11 11:25:00,437,
HBpb,004,2022/11/11 13:25:00,437,
HBpb,004,2022/11/11 14:25:00,437,
HBpb,004,2022/11/11 15:25:00,438,
HBpb,004,2022/11/11 16:25:00,438,
HBpb,004,2022/11/11 17:25:00,438,
HBpb,004,2022/11/11 18:25:00,437,
HBpb,004,2022/11/11 19:25:00,438,
HBpb,004,2022/11/11 20:25:00,438,
HBpb,004,2022/11/11 21:25:00,437,
HBpb,004,2022/11/11 22:25:00,437,
HBpb,004,2022/11/11 23:25:00,437,
HBpb,004,2022/11/12 00:25:00,437,
HBpb,004,2022/11/12 01:25:00,437,
HBpb,004,2022/11/12 02:25:00,437,
HBpb,004,2022/11/12 03:25:00,438,
HBpb,004,2022/11/12 04:25:00,437,
HBpb,004,2022/11/12 05:25:00,437,
HBpb,004,2022/11/12 06:25:00,437,
HBpb,004,2022/11/12 07:25:00,437,
HBpb,004,2022/11/12 08:25:00,437,
HBpb,004,2022/11/12 09:25:00,437,
HBpb,004,2022/11/12 10:25:00,437,
HBpb,004,2022/11/12 11:25:00,437,
HBpb,004,2022/11/12 12:25:00,437,
HBpb,004,2022/11/12 13:25:00,437,
HBpb,004,2022/11/12 14:25:00,437,
HBpb,004,2022/11/12 15:25:00,437,
HBpb,004,2022/11/12 16:25:00,437,
HBpb,004,2022/11/12 17:25:00,437,
HBpb,004,2022/11/12 18:25:00,437,
HBpb,004,2022/11/12 19:25:00,437,
HBpb,004,2022/11/12 20:25:00,437,
HBpb,004,2022/11/12 21:25:00,436,
HBpb,004,2022/11/12 22:25:00,436,
HBpb,004,2022/11/12 23:25:00,437,
HBpb,004,2022/11/13 00:25:00,436,
HBpb,004,2022/11/13 01:25:00,436,
HBpb,004,2022/11/13 02:25:00,437,
HBpb,004,2022/11/13 03:25:00,437,
HBpb,004,2022/11/13 04:25:00,437,
HBpb,004,2022/11/13 05:25:00,437,
HBpb,004,2022/11/13 06:25:00,437,
HBpb,004,2022/11/13 07:25:00,437,
HBpb,004,2022/11/13 08:25:00,436,
HBpb,004,2022/11/13 09:25:00,437,
HBpb,004,2022/11/13 10:25:00,437,
HBpb,004,2022/11/13 11:25:00,437,
HBpb,004,2022/11/13 12:25:00,437,
HBpb,004,2022/11/13 13:25:00,437,
HBpb,004,2022/11/13 14:25:00,437,
HBpb,004,2022/11/13 15:25:00,437,
HBpb,004,2022/11/13 16:25:00,437,
HBpb,004,2022/11/13 17:25:00,437,
HBpb,004,2022/11/13 18:25:00,436,
HBpb,004,2022/11/13 19:25:00,436,
HBpb,004,2022/11/13 20:25:00,437,
HBpb,004,2022/11/13 21:25:00,436,
HBpb,004,2022/11/13 22:25:00,437,
HBpb,004,2022/11/13 23:25:00,436,
HBpb,004,2022/11/14 00:25:00,437,
HBpb,004,2022/11/14 01:25:00,437,
HBpb,004,2022/11/14 02:25:00,437,
HBpb,004,2022/11/14 03:25:00,437,
HBpb,004,2022/11/14 04:25:00,437,
HBpb,004,2022/11/14 05:25:00,437,
HBpb,004,2022/11/14 06:25:00,437,
HBpb,004,2022/11/14 07:25:00,437,
HBpb,004,2022/11/14 08:25:00,437,
HBpb,004,2022/11/14 09:25:00,437,
HBpb,004,2022/11/14 10:25:00,437,
HBpb,004,2022/11/14 11:25:00,437,
HBpb,004,2022/11/14 12:25:00,437,
HBpb,004,2022/11/14 13:25:00,436,
HBpb,004,2022/11/14 14:25:00,436,
HBpb,004,2022/11/14 15:25:00,436,
HBpb,004,2022/11/14 16:25:00,436,
HBpb,004,2022/11/14 17:25:00,436,
HBpb,004,2022/11/14 18:25:00,437,
HBpb,004,2022/11/14 19:25:00,436,
HBpb,004,2022/11/14 20:25:00,436,
HBpb,004,2022/11/14 21:25:00,436,
HBpb,004,2022/11/14 22:25:00,436,
HBpb,004,2022/11/14 23:25:00,437,
HBpb,004,2022/11/15 00:25:00,437,
HBpb,004,2022/11/15 01:25:00,437,
HBpb,004,2022/11/15 02:25:00,437,
HBpb,004,2022/11/15 03:25:00,437,
HBpb,004,2022/11/15 04:25:00,437,
HBpb,004,2022/11/15 05:25:00,437,
HBpb,004,2022/11/15 06:25:00,437,
HBpb,004,2022/11/15 07:25:00,437,
HBpb,004,2022/11/15 08:25:00,437,
HBpb,004,2022/11/15 09:25:00,437,
HBpb,004,2022/11/15 10:25:00,437,
HBpb,004,2022/11/15 11:25:00,437,
HBpb,004,2022/11/15 12:25:00,437,
HBpb,004,2022/11/15 13:25:00,437,
HBpb,004,2022/11/15 14:25:00,437,
HBpb,004,2022/11/15 15:25:00,437,
HBpb,004,2022/11/15 16:25:00,437,
HBpb,004,2022/11/15 17:25:00,437,
HBpb,004,2022/11/15 18:25:00,437,
HBpb,004,2022/11/15 19:25:00,437,
HBpb,004,2022/11/15 20:25:00,437,
HBpb,004,2022/11/15 21:25:00,437,
HBpb,004,2022/11/15 22:25:00,437,
HBpb,004,2022/11/15 23:25:00,437,
HBpb,004,2022/11/16 00:25:00,437,
HBpb,004,2022/11/16 01:25:00,438,
HBpb,004,2022/11/16 02:25:00,438,
HBpb,004,2022/11/16 03:25:00,438,
HBpb,004,2022/11/16 04:25:00,438,
HBpb,004,2022/11/16 05:25:00,439,
HBpb,004,2022/11/16 06:25:00,438,
HBpb,004,2022/11/16 07:25:00,438,
HBpb,004,2022/11/16 08:25:00,439,
HBpb,004,2022/11/16 09:25:00,438,
HBpb,004,2022/11/16 10:25:00,438,
HBpb,004,2022/11/16 11:25:00,437,
HBpb,004,2022/11/16 12:25:00,438,
HBpb,004,2022/11/16 13:25:00,437,
HBpb,004,2022/11/16 14:25:00,437,
HBpb,004,2022/11/16 15:25:00,438,
HBpb,004,2022/11/16 16:25:00,437,
HBpb,004,2022/11/16 17:25:00,437,
HBpb,004,2022/11/16 18:25:00,437,
HBpb,004,2022/11/16 19:25:00,437,
HBpb,004,2022/11/16 20:25:00,438,
HBpb,004,2022/11/16 21:25:00,438,
HBpb,004,2022/11/16 22:25:00,438,
HBpb,004,2022/11/16 23:25:00,438,
HBpb,004,2022/11/17 00:25:00,438,
HBpb,004,2022/11/17 01:25:00,439,
HBpb,004,2022/11/17 02:25:00,439,
HBpb,004,2022/11/17 03:25:00,440,
HBpb,004,2022/11/17 04:25:00,440,
HBpb,004,2022/11/17 05:25:00,440,
HBpb,004,2022/11/17 06:25:00,440,
HBpb,004,2022/11/17 07:25:00,440,
HBpb,004,2022/11/17 08:25:00,440,
HBpb,004,2022/11/17 09:25:00,440,
HBpb,004,2022/11/17 10:25:00,440,
HBpb,004,2022/11/17 11:25:00,439,
HBpb,004,2022/11/17 12:25:00,439,
HBpb,004,2022/11/17 13:25:00,439,
HBpb,004,2022/11/17 14:25:00,440,
HBpb,004,2022/11/17 15:25:00,439,
HBpb,004,2022/11/17 16:25:00,439,
HBpb,004,2022/11/17 17:25:00,439,
HBpb,004,2022/11/17 18:25:00,440,
HBpb,004,2022/11/17 19:25:00,440,
HBpb,004,2022/11/17 20:25:00,440,
HBpb,004,2022/11/17 21:25:00,439,
HBpb,004,2022/11/17 22:25:00,439,
HBpb,004,2022/11/17 23:25:00,439,
HBpb,004,2022/11/18 00:25:00,439,
HBpb,004,2022/11/18 01:25:00,439,
HBpb,004,2022/11/18 02:25:00,439,
HBpb,004,2022/11/18 03:25:00,439,
HBpb,004,2022/11/18 04:25:00,440,
HBpb,004,2022/11/18 05:25:00,440,
HBpb,004,2022/11/18 06:25:00,440,
HBpb,004,2022/11/18 07:25:00,439,
HBpb,004,2022/11/18 08:25:00,439,
HBpb,004,2022/11/18 09:25:00,439,
HBpb,004,2022/11/18 10:25:00,439,
HBpb,004,2022/11/18 11:25:00,439,
HBpb,004,2022/11/18 12:25:00,439,
HBpb,004,2022/11/18 13:25:00,439,
HBpb,004,2022/11/18 14:25:00,439,
HBpb,004,2022/11/18 15:25:00,439,
HBpb,004,2022/11/18 16:25:00,439,
HBpb,004,2022/11/18 17:25:00,439,
HBpb,004,2022/11/18 18:25:00,439,
HBpb,004,2022/11/18 19:25:00,439,
HBpb,004,2022/11/18 20:25:00,439,
HBpb,004,2022/11/18 21:25:00,439,
HBpb,004,2022/11/18 22:25:00,439,
HBpb,004,2022/11/18 23:25:00,439,
HBpb,004,2022/11/19 00:25:00,439,
HBpb,004,2022/11/19 01:25:00,440,
HBpb,004,2022/11/19 02:25:00,439,
HBpb,004,2022/11/19 03:25:00,439,
HBpb,004,2022/11/19 04:25:00,439,
HBpb,004,2022/11/19 05:25:00,439,
HBpb,004,2022/11/19 06:25:00,440,
HBpb,004,2022/11/19 07:25:00,439,
HBpb,004,2022/11/19 08:25:00,439,
HBpb,004,2022/11/19 09:25:00,440,
HBpb,004,2022/11/19 10:25:00,440,
HBpb,004,2022/11/19 11:25:00,439,
HBpb,004,2022/11/19 12:25:00,440,
HBpb,004,2022/11/19 13:25:00,439,
HBpb,004,2022/11/19 14:25:00,439,
HBpb,004,2022/11/19 15:25:00,439,
HBpb,004,2022/11/19 16:25:00,439,
HBpb,004,2022/11/19 17:25:00,439,
HBpb,004,2022/11/19 18:25:00,439,
HBpb,004,2022/11/19 19:25:00,439,
HBpb,004,2022/11/19 20:25:00,439,
HBpb,004,2022/11/19 21:25:00,439,
HBpb,004,2022/11/19 22:25:00,439,
HBpb,004,2022/11/19 23:25:00,439,
HBpb,004,2022/11/20 00:25:00,439,
HBpb,004,2022/11/20 01:25:00,439,
HBpb,004,2022/11/20 02:25:00,440,
HBpb,004,2022/11/20 03:25:00,440,
HBpb,004,2022/11/20 04:25:00,439,
HBpb,004,2022/11/20 05:25:00,439,
HBpb,004,2022/11/20 06:25:00,439,
HBpb,004,2022/11/20 07:25:00,439,
HBpb,004,2022/11/20 08:25:00,440,
HBpb,004,2022/11/20 09:25:00,440,
HBpb,004,2022/11/20 10:25:00,440,
HBpb,004,2022/11/20 11:25:00,440,
HBpb,004,2022/11/20 12:25:00,440,
HBpb,004,2022/11/20 13:25:00,440,
HBpb,004,2022/11/20 14:25:00,440,
HBpb,004,2022/11/20 15:25:00,441,
HBpb,004,2022/11/20 16:25:00,441,
HBpb,004,2022/11/20 17:25:00,441,
HBpb,004,2022/11/20 18:25:00,441,
HBpb,004,2022/11/20 19:25:00,441,
HBpb,004,2022/11/20 21:25:00,441,
HBpb,004,2022/11/20 22:25:00,441,
HBpb,004,2022/11/20 23:25:00,441,
HBpb,004,2022/11/21 00:25:00,441,
HBpb,004,2022/11/21 01:25:00,441,
HBpb,004,2022/11/21 02:25:00,442,
HBpb,004,2022/11/21 03:25:00,441,
HBpb,004,2022/11/21 04:25:00,442,
HBpb,004,2022/11/21 05:25:00,442,
HBpb,004,2022/11/21 06:25:00,442,
HBpb,004,2022/11/21 07:25:00,443,
HBpb,004,2022/11/21 08:25:00,442,
HBpb,004,2022/11/21 09:25:00,442,
HBpb,004,2022/11/21 10:25:00,443,
HBpb,004,2022/11/21 11:25:00,442,
HBpb,004,2022/11/21 12:25:00,443,
HBpb,004,2022/11/21 13:25:00,443,
HBpb,004,2022/11/21 14:25:00,443,
HBpb,004,2022/11/21 15:25:00,443,
HBpb,004,2022/11/21 17:25:00,443,
HBpb,004,2022/11/21 18:25:00,443,
HBpb,004,2022/11/21 19:25:00,444,
HBpb,004,2022/11/21 20:25:00,443,
HBpb,004,2022/11/21 21:25:00,443,
HBpb,004,2022/11/21 22:25:00,444,
HBpb,004,2022/11/21 23:25:00,444,
HBpb,004,2022/11/22 00:25:00,444,
HBpb,004,2022/11/22 01:25:00,445,
HBpb,004,2022/11/22 02:25:00,444,
HBpb,004,2022/11/22 03:25:00,445,
HBpb,004,2022/11/22 04:25:00,445,
HBpb,004,2022/11/22 05:25:00,445,
HBpb,004,2022/11/22 06:25:00,445,
HBpb,004,2022/11/22 07:25:00,445,
HBpb,004,2022/11/22 08:25:00,445,
HBpb,004,2022/11/22 09:25:00,445,
HBpb,004,2022/11/22 10:25:00,445,
HBpb,004,2022/11/22 11:25:00,445,
HBpb,004,2022/11/22 12:25:00,445,
HBpb,004,2022/11/22 13:25:00,446,
HBpb,004,2022/11/22 14:25:00,446,
HBpb,004,2022/11/22 15:25:00,445,
HBpb,004,2022/11/22 16:25:00,446,
HBpb,004,2022/11/22 17:25:00,446,
HBpb,004,2022/11/22 18:25:00,446,
HBpb,004,2022/11/22 19:25:00,446,
HBpb,004,2022/11/22 20:25:00,447,
HBpb,004,2022/11/22 21:25:00,446,
HBpb,004,2022/11/22 22:25:00,447,
HBpb,004,2022/11/22 23:25:00,447,
HBpb,004,2022/11/23 00:25:00,447,
HBpb,004,2022/11/23 01:25:00,447,
HBpb,004,2022/11/23 02:25:00,448,
HBpb,004,2022/11/23 03:25:00,447,
HBpb,004,2022/11/23 04:25:00,448,
HBpb,004,2022/11/23 05:25:00,448,
HBpb,004,2022/11/23 06:25:00,448,
HBpb,004,2022/11/23 07:25:00,448,
HBpb,004,2022/11/23 11:25:00,449,
HBpb,004,2022/11/23 12:25:00,449,
HBpb,004,2022/11/23 13:25:00,449,
HBpb,004,2022/11/23 14:25:00,449,
HBpb,004,2022/11/23 15:25:00,449,
HBpb,004,2022/11/23 16:25:00,449,
HBpb,004,2022/11/23 17:25:00,449,
HBpb,004,2022/11/23 18:25:00,449,
HBpb,004,2022/11/23 19:25:00,449,
HBpb,004,2022/11/23 20:25:00,449,
HBpb,004,2022/11/23 21:25:00,450,
HBpb,004,2022/11/23 22:25:00,450,
HBpb,004,2022/11/23 23:25:00,450,
HBpb,004,2022/11/24 00:25:00,450,
HBpb,004,2022/11/24 01:25:00,450,
HBpb,004,2022/11/24 02:25:00,450,
HBpb,004,2022/11/24 03:25:00,451,
HBpb,004,2022/11/24 04:25:00,451,
HBpb,004,2022/11/24 05:25:00,451,
HBpb,004,2022/11/24 06:25:00,451,
HBpb,004,2022/11/24 07:25:00,451,
HBpb,004,2022/11/24 08:25:00,451,
HBpb,004,2022/11/24 09:25:00,451,
HBpb,004,2022/11/24 10:25:00,451,
HBpb,004,2022/11/24 11:25:00,451,
HBpb,004,2022/11/24 12:25:00,451,
HBpb,004,2022/11/24 13:25:00,452,
HBpb,004,2022/11/24 14:25:00,452,
HBpb,004,2022/11/24 15:25:00,452,
HBpb,004,2022/11/24 16:25:00,452,
HBpb,004,2022/11/24 17:25:00,452,
HBpb,004,2022/11/24 18:25:00,452,
HBpb,004,2022/11/24 19:25:00,452,
HBpb,004,2022/11/24 20:25:00,453,
HBpb,004,2022/11/24 21:25:00,453,
HBpb,004,2022/11/24 22:25:00,453,
HBpb,004,2022/11/24 23:25:00,453,
HBpb,004,2022/11/25 00:25:00,453,
HBpb,004,2022/11/25 01:25:00,453,
HBpb,004,2022/11/25 02:25:00,453,
HBpb,004,2022/11/25 03:25:00,454,
HBpb,004,2022/11/25 04:25:00,454,
HBpb,004,2022/11/25 05:25:00,454,
HBpb,004,2022/11/25 06:25:00,454,
HBpb,004,2022/11/25 07:25:00,454,
HBpb,004,2022/11/25 08:25:00,454,
HBpb,004,2022/11/25 09:25:00,454,
HBpb,004,2022/11/25 10:25:00,454,
HBpb,004,2022/11/25 11:25:00,455,
HBpb,004,2022/11/25 12:25:00,454,
HBpb,004,2022/11/25 13:25:00,454,
HBpb,004,2022/11/25 15:25:00,454,
HBpb,004,2022/11/25 16:25:00,454,
HBpb,004,2022/11/25 17:25:00,454,
HBpb,004,2022/11/25 18:25:00,455,
HBpb,004,2022/11/25 19:25:00,455,
HBpb,004,2022/11/25 20:25:00,455,
HBpb,004,2022/11/25 21:25:00,455,
HBpb,004,2022/11/25 22:25:00,455,
HBpb,004,2022/11/25 23:25:00,455,
HBpb,004,2022/11/26 00:25:00,455,
HBpb,004,2022/11/26 01:25:00,455,
HBpb,004,2022/11/26 02:25:00,455,
HBpb,004,2022/11/26 03:25:00,456,
HBpb,004,2022/11/26 04:25:00,456,
HBpb,004,2022/11/26 05:25:00,456,
HBpb,004,2022/11/26 06:25:00,456,
HBpb,004,2022/11/26 07:25:00,456,
HBpb,004,2022/11/26 08:25:00,456,
HBpb,004,2022/11/26 09:25:00,457,
HBpb,004,2022/11/26 10:25:00,457,
HBpb,004,2022/11/26 11:25:00,457,
HBpb,004,2022/11/26 12:25:00,457,
HBpb,004,2022/11/26 13:25:00,457,
HBpb,004,2022/11/26 14:25:00,457,
HBpb,004,2022/11/26 15:25:00,457,
HBpb,004,2022/11/26 16:25:00,457,
HBpb,004,2022/11/26 17:25:00,458,
HBpb,004,2022/11/26 18:25:00,457,
HBpb,004,2022/11/26 19:25:00,458,
HBpb,004,2022/11/26 20:25:00,458,
HBpb,004,2022/11/26 21:25:00,458,
HBpb,004,2022/11/26 22:25:00,458,
HBpb,004,2022/11/26 23:25:00,458,
HBpb,004,2022/11/27 00:25:00,458,
HBpb,004,2022/11/27 01:25:00,458,
HBpb,004,2022/11/27 02:25:00,458,
HBpb,004,2022/11/27 03:25:00,459,
HBpb,004,2022/11/27 04:25:00,459,
HBpb,004,2022/11/27 05:25:00,459,
HBpb,004,2022/11/27 06:25:00,459,
HBpb,004,2022/11/27 07:25:00,459,
HBpb,004,2022/11/27 08:25:00,459,
HBpb,004,2022/11/27 09:25:00,459,
HBpb,004,2022/11/27 10:25:00,460,
HBpb,004,2022/11/27 11:25:00,460,
HBpb,004,2022/11/27 12:25:00,460,
HBpb,004,2022/11/27 13:25:00,461,
HBpb,004,2022/11/27 14:25:00,460,
HBpb,004,2022/11/27 15:25:00,460,
HBpb,004,2022/11/27 16:25:00,461,
HBpb,004,2022/11/27 17:25:00,461,
HBpb,004,2022/11/27 18:25:00,461,
HBpb,004,2022/11/27 19:25:00,461,
HBpb,004,2022/11/27 20:25:00,461,
HBpb,004,2022/11/27 21:25:00,461,
HBpb,004,2022/11/27 22:25:00,461,
HBpb,004,2022/11/27 23:25:00,461,
